year,table_alias,table_name,output,resolved_var_name,resolved_var_title,matched_pattern
2018,DRVF,,core_expenses_gasb,,,
2018,DRVF,,core_expenses_pfp,,,
2018,DRVF,,endowment_assets_per_fte_fasb,,,
2018,DRVF,,endowment_assets_per_fte_gasb,,,
2018,DRVF,,gov_grants_fasb,,,
2018,DRVF,,gov_revenue_fte_fasb,,,
2018,DRVF,,research_expenses_pct_core_expenses_fasb,,,
2018,DRVF,,research_expenses_pct_core_expenses_gasb,,,
2018,DRVF,,research_expenses_pct_core_expenses_pfp,,,
2018,DRVF,,research_expenses_per_fte_fasb,,,
2018,DRVF,,research_expenses_per_fte_gasb,,,
2018,DRVF,,research_expenses_per_fte_pfp,,,
2018,DRVF,,state_approps_percent_core_gasb,,,
2018,DRVF,,state_revenue_fte_fasb,,,
2018,DRVGR,,transfer_out_rate_bachelor,,,
2018,DRVHR,,fte_instructional,,,
2018,DRVHR,,fte_total_staff,,,
2018,EFIA,EFIA2018,fte_graduate,,,
2018,EFIA,EFIA2018,fte_undergrad,,,
2018,F1A,F1718_F1A,discounts_allowances_applied_tuition_fees_gasb,,,
2018,F1A,F1718_F1A,endowment_net_investment_return_gasb,,,
2018,F1A,F1718_F1A,endowment_spending_distribution_current_use_gasb,,,
2018,F1A,F1718_F1A,federal_operating_grants_contracts_gasb,F1B04,,exact_code_override
2018,F1A,F1718_F1A,new_gifts_additions_gasb,,,
2018,F1A,F1718_F1A,research_expenses_total_gasb,F1C021,,exact_code_override
2018,F1A,F1718_F1A,state_appropriations_gasb,F1B17,,exact_code_override
2018,F1A,F1718_F1A,total_assets_gasb,,,
2018,F1A,F1718_F1A,total_expenses_deductions_current_total_gasb,F1D02,,exact_code_override
2018,F1A,F1718_F1A,total_liabilities_gasb,,,
2018,F1A,F1718_F1A,total_operating_nonoperating_revenues_gasb,F1D01,,exact_code_override
2018,F1A,F1718_F1A,tuition_fees_after_discounts_allowances_gasb,F1B01,,exact_code_override
2018,F1A,F1718_F1A,unrestricted_public,,,
2018,F1A,F1718_F1A,value_endowment_assets_beginning_gasb,,,
2018,F1A,F1718_F1A,value_endowment_assets_end_gasb,,,
2018,F2,F1718_F2,allowances_applied_to_tuition_fasb,,,
2018,F2,F1718_F2,endowment_net_investment_return_fasb,,,
2018,F2,F1718_F2,federal_grants_contracts_fasb,F2D04,,exact_code_override
2018,F2,F1718_F2,institutional_grants_funded_fasb,,,
2018,F2,F1718_F2,institutional_grants_unfunded_fasb,,,
2018,F2,F1718_F2,new_endowment_gifts_fasb,,,
2018,F2,F1718_F2,pell_grants,,,
2018,F2,F1718_F2,research_expenses_total_fasb,F2E021,,exact_code_override
2018,F2,F1718_F2,spending_distribution_for_current_use_fasb,,,
2018,F2,F1718_F2,state_approps_fasb,F2D05,,exact_code_override
2018,F2,F1718_F2,total_assets_fasb,,,
2018,F2,F1718_F2,total_expenses_fasb,F2B02,,exact_code_override
2018,F2,F1718_F2,total_liabilities_fasb,,,
2018,F2,F1718_F2,total_revenues_investment_return_fasb,F2B01,,exact_code_override
2018,F2,F1718_F2,total_unrestricted_net_assets_fasb,,,
2018,F2,F1718_F2,tuition_and_fees_fasb,F2D01,,exact_code_override
2018,F2,F1718_F2,unrestricted_operating_rev_fasb,,,
2018,F2,F1718_F2,value_endowment_beginning_fasb,,,
2018,F2,F1718_F2,value_endowment_end_fasb,,,
2018,F3,F1718_F3,discounts_allowances_applied_tuition_fees_pfp,,,
2018,F3,F1718_F3,federal_grants_contracts_pfp,F3D04,,exact_code_override
2018,F3,F1718_F3,institutional_grants_pfp,,,
2018,F3,F1718_F3,research_expenses_total_pfp,F3E02A1,,exact_code_override
2018,F3,F1718_F3,state_appropriations_pfp,F3D05,,exact_code_override
2018,F3,F1718_F3,total_assets_pfp,,,
2018,F3,F1718_F3,total_expenses_total_amount_pfp,F3B02,,exact_code_override
2018,F3,F1718_F3,total_liabilities_pfp,,,
2018,F3,F1718_F3,total_revenues_investment_return_pfp,F3B01,,exact_code_override
2018,F3,F1718_F3,total_revenues_pfp,,,
